Month,Store,Metric,Amount (Rs Lakhs)
April 2024,SIG,store Labor Cost,0.0
April 2024,HSR,store Labor Cost,6.076
April 2024,CVR,store Labor Cost,2.5722
April 2024,SJP,store Labor Cost,0.0
April 2024,ORW,store Labor Cost,3.2578
April 2024,EST,store Labor Cost,3.4387
April 2024,ORE,store Labor Cost,0.0
April 2024,AUR,store Labor Cost,0.0
April 2024,JPN,store Labor Cost,5.1328
April 2024,JPC,store Labor Cost,0.0
April 2024,PTP,store Labor Cost,0.0
April 2024,SEC,store Labor Cost,0.0
April 2024,SYH,store Labor Cost,4.6361
April 2024,ETF,store Labor Cost,2.7237
April 2024,GSC,store Labor Cost,2.8839
April 2024,PRI,store Labor Cost,0.0
April 2024,ECN,store Labor Cost,2.6169
April 2024,RGA,store Labor Cost,2.562
April 2024,KNP,store Labor Cost,2.7764
April 2024,KCK,store Labor Cost,3.8194
April 2024,BVG,store Labor Cost,3.4521
April 2024,CLA,store Labor Cost,3.577
April 2024,IBC,store Labor Cost,2.37
April 2024,BTG,store Labor Cost,3.1095
April 2024,ECT,store Labor Cost,4.7974
April 2024,RRR,store Labor Cost,3.458
April 2024,SHV,store Labor Cost,3.1358
April 2024,DCB,store Labor Cost,1.8744
April 2024,VBP,store Labor Cost,4.0021
April 2024,ADM,store Labor Cost,6.9129
April 2024,SFC,store Labor Cost,3.5238
April 2024,SCK,store Labor Cost,2.9552
April 2024,SES,store Labor Cost,3.4413
April 2024,JIG,store Labor Cost,3.9772
April 2024,GCN,store Labor Cost,3.6648
April 2024,ANN,store Labor Cost,3.9428
April 2024,SKO,store Labor Cost,4.0191
April 2024,JAP,store Labor Cost,2.6996
April 2024,DWR,store Labor Cost,2.8277
April 2024,AVK,store Labor Cost,4.1116
April 2024,CYG,store Labor Cost,2.5803
April 2024,NSS,store Labor Cost,2.9823
April 2024,GEB,store Labor Cost,3.8389
April 2024,ROH,store Labor Cost,3.2806
April 2024,EKL,store Labor Cost,5.6173
April 2024,PBF,store Labor Cost,3.0886
April 2024,KBB,store Labor Cost,2.8776
April 2024,IHY,store Labor Cost,3.9
April 2024,DCH,store Labor Cost,2.9838
April 2024,HAA,store Labor Cost,0.0
April 2024,SCH,store Labor Cost,3.482
April 2024,LTP,store Labor Cost,3.9045
April 2024,FSM,store Labor Cost,3.0915
April 2024,GSM,store Labor Cost,2.7549
April 2024,PPM,store Labor Cost,3.214
April 2024,FLM,store Labor Cost,2.5199
April 2024,FDN,store Labor Cost,4.3669
