Month,Store,Metric,Amount,Percent of Net Sales
Apr 24,MTP,COGS (food +packaging),361448.296013376,0.4414006852365801
Apr 24,MTP,Gross margin,457418.343986624,0.5585993147634198
Apr 24,MTP,store Labor Cost,211165.4744,0.2578752926117494
Apr 24,MTP,Utility Cost,79326.0,0.09687291693797662
Apr 24,MTP,CAM,0.0,0.0
Apr 24,MTP,Aggregator commission,0.0,0.0
Apr 24,MTP,Marketing & advertisement,5150.11,0.006289314704528688
Apr 24,MTP,Other opex expenses,84870.03400000001,0.1036432916597995
Apr 24,ETV,Gross Sales,,
Apr 24,ETV,Net Sales,,
Apr 24,ETV,COGS (food +packaging),0.0,
Apr 24,ETV,Gross margin,0.0,
Apr 24,ETV,store Labor Cost,0.0,
Apr 24,ETV,Utility Cost,0.0,
Apr 24,ETV,CAM,0.0,
Apr 24,ETV,Aggregator commission,,
Apr 24,ETV,Marketing & advertisement,0.0,
Apr 24,ETV,Other opex expenses,0.0,
Apr 24,VIR,Gross Sales,2827729.88,1.020028454875117
Apr 24,VIR,Net Sales,2772206.86,1.0
Apr 24,VIR,COGS (food +packaging),952545.0703808938,0.3436053362846428
Apr 24,VIR,Gross margin,1819661.789619106,0.6563946637153572
Apr 24,VIR,store Labor Cost,320827.7138,0.1157300771559306
Apr 24,VIR,Utility Cost,129334.0,0.04665380562545755
Apr 24,VIR,CAM,29500.0,0.01064134153394311
Apr 24,VIR,Aggregator commission,501927.8,0.1810571235654471
Apr 24,VIR,Marketing & advertisement,48569.91,0.01752030510450436
Apr 24,VIR,Other opex expenses,131515.6572000003,0.04744078051953176
Apr 24,Tecno,Gross Sales,,
Apr 24,Tecno,Net Sales,,
Apr 24,Tecno,COGS (food +packaging),0.0,
Apr 24,Tecno,Gross margin,0.0,
Apr 24,Tecno,store Labor Cost,0.0,
Apr 24,Tecno,Utility Cost,0.0,
Apr 24,Tecno,CAM,0.0,
Apr 24,Tecno,Aggregator commission,0.0,
Apr 24,Tecno,Marketing & advertisement,0.0,
Apr 24,Tecno,Other opex expenses,0.0,
Apr 24,ARK,Gross Sales,4971361.0,1.013447564342917
Apr 24,ARK,Net Sales,4905395.38,1.0
Apr 24,ARK,COGS (food +packaging),1719653.591644202,0.35056370759745
Apr 24,ARK,Gross margin,3185741.788355798,0.64943629240255
Apr 24,ARK,store Labor Cost,389051.26376,0.07931088803691906
Apr 24,ARK,Utility Cost,177642.0,0.03621359467256643
Apr 24,ARK,CAM,0.0,0.0
Apr 24,ARK,Aggregator commission,798756.62,0.1628322608319495
Apr 24,ARK,Marketing & advertisement,31795.19,0.006481677324040697
Apr 24,ARK,Other opex expenses,162623.541,0.03315197418398514
Apr 24,SIG,Gross Sales,,
Apr 24,SIG,Net Sales,,
Apr 24,SIG,COGS (food +packaging),0.0,
Apr 24,SIG,Gross margin,0.0,
Apr 24,SIG,store Labor Cost,0.0,
Apr 24,SIG,Utility Cost,0.0,
Apr 24,SIG,CAM,0.0,
Apr 24,SIG,Aggregator commission,,
Apr 24,SIG,Marketing & advertisement,0.0,
Apr 24,SIG,Other opex expenses,0.0,
Apr 24,HSR,Gross Sales,7270848.0,1.012608293868986
Apr 24,HSR,Net Sales,7180316.46,1.0
Apr 24,HSR,COGS (food +packaging),2475416.274708984,0.3447503029287075
Apr 24,HSR,Gross margin,4704900.185291016,0.6552496970712925
Apr 24,HSR,store Labor Cost,607595.30633,0.08461957209195206
Apr 24,HSR,Utility Cost,236561.0,0.03294576239331936
Apr 24,HSR,CAM,0.0,0.0
Apr 24,HSR,Aggregator commission,1193811.73,0.1662617151556576
Apr 24,HSR,Marketing & advertisement,42989.15,0.005987082914727132
Apr 24,HSR,Other opex expenses,203836.0669999996,0.02838817315859635
Apr 24,CVR,Gross Sales,982453.0,1.050000004275014
Apr 24,CVR,Net Sales,935669.52,1.0
Apr 24,CVR,COGS (food +packaging),332968.1602418434,0.3558608601911531
Apr 24,CVR,Gross margin,602701.3597581566,0.6441391398088469
Apr 24,CVR,store Labor Cost,257222.6989,0.2749076392912745
Apr 24,CVR,Utility Cost,87530.0,0.09354798690033207
Apr 24,CVR,CAM,29500.0,0.03152822590608701
Apr 24,CVR,Aggregator commission,0.0,0.0
Apr 24,CVR,Marketing & advertisement,5121.08,0.00547317176688624
Apr 24,CVR,Other opex expenses,96908.65599999993,0.1035714575804499
Apr 24,SJP,Gross Sales,,
Apr 24,SJP,Net Sales,,
Apr 24,SJP,COGS (food +packaging),0.0,
Apr 24,SJP,Gross margin,0.0,
Apr 24,SJP,store Labor Cost,0.0,
Apr 24,SJP,Utility Cost,0.0,
Apr 24,SJP,CAM,0.0,
Apr 24,SJP,Aggregator commission,0.0,
Apr 24,SJP,Marketing & advertisement,0.0,
Apr 24,SJP,Other opex expenses,0.0,
Apr 24,ORW,Gross Sales,3009394.0,1.036418847316037
Apr 24,ORW,Net Sales,2903646.54,1.0
Apr 24,ORW,COGS (food +packaging),1098172.603871573,0.3782046432798852
Apr 24,ORW,Gross margin,1805473.936128427,0.6217953567201148
Apr 24,ORW,store Labor Cost,325779.604,0.1121967152379366
Apr 24,ORW,Utility Cost,97506.0,0.03358053353146764
Apr 24,ORW,CAM,107617.0,0.0370627066750349
Apr 24,ORW,Aggregator commission,172266.5,0.05932764116668277
Apr 24,ORW,Marketing & advertisement,397400.69,0.1368626258483927
Apr 24,ORW,Other opex expenses,109175.6825000002,0.03759950840986322
Apr 24,EST,Gross Sales,3241224.0,1.011300131325766
Apr 24,EST,Net Sales,3205007.0,1.0
Apr 24,EST,COGS (food +packaging),1114577.044441146,0.3477611888027534
Apr 24,EST,Gross margin,2090429.955558854,0.6522388111972467
Apr 24,EST,store Labor Cost,343870.067994,0.1072915185501935
Apr 24,EST,Utility Cost,162405.0,0.05067227622279764
Apr 24,EST,CAM,37881.0,0.01181931895936577
Apr 24,EST,Aggregator commission,558984.4,0.1744097282782846
Apr 24,EST,Marketing & advertisement,42735.24,0.01333389911472892
Apr 24,EST,Other opex expenses,108155.4260000001,0.03374576904200211
Apr 24,ORE,Gross Sales,,
Apr 24,ORE,Net Sales,,
Apr 24,ORE,COGS (food +packaging),0.0,
Apr 24,ORE,Gross margin,0.0,
Apr 24,ORE,store Labor Cost,0.0,
Apr 24,ORE,Utility Cost,0.0,
Apr 24,ORE,CAM,0.0,
Apr 24,ORE,Aggregator commission,,
Apr 24,ORE,Marketing & advertisement,0.0,
Apr 24,ORE,Other opex expenses,0.0,
Apr 24,AUR,Gross Sales,,
Apr 24,AUR,Net Sales,,
Apr 24,AUR,COGS (food +packaging),0.0,
Apr 24,AUR,Gross margin,0.0,
Apr 24,AUR,store Labor Cost,0.0,
Apr 24,AUR,Utility Cost,0.0,
Apr 24,AUR,CAM,0.0,
Apr 24,AUR,Aggregator commission,,
Apr 24,AUR,Marketing & advertisement,0.0,
Apr 24,AUR,Other opex expenses,0.0,
Apr 24,JPN,Gross Sales,4774078.0,1.015248427092953
Apr 24,JPN,Net Sales,4702374.19,1.0
Apr 24,JPN,COGS (food +packaging),1842199.83936072,0.3917595165604463
Apr 24,JPN,Gross margin,2860174.35063928,0.6082404834395537
Apr 24,JPN,store Labor Cost,513283.571292,0.1091541316264327
Apr 24,JPN,Utility Cost,195620.0,0.04160026235598235
Apr 24,JPN,CAM,0.0,0.0
Apr 24,JPN,Aggregator commission,723813.9,0.1539252026219547
Apr 24,JPN,Marketing & advertisement,90373.71,0.01921874065066694
Apr 24,JPN,Other opex expenses,186854.7155,0.03973624980703631
Apr 24,JPC,Gross Sales,,
Apr 24,JPC,Net Sales,,
Apr 24,JPC,COGS (food +packaging),0.0,
Apr 24,JPC,Gross margin,0.0,
Apr 24,JPC,store Labor Cost,0.0,
Apr 24,JPC,Utility Cost,0.0,
Apr 24,JPC,CAM,0.0,
Apr 24,JPC,Aggregator commission,,
Apr 24,JPC,Marketing & advertisement,0.0,
Apr 24,JPC,Other opex expenses,0.0,
Apr 24,PTP,Gross Sales,,
Apr 24,PTP,Net Sales,,
Apr 24,PTP,COGS (food +packaging),0.0,
Apr 24,PTP,Gross margin,0.0,
Apr 24,PTP,store Labor Cost,0.0,
Apr 24,PTP,Utility Cost,0.0,
Apr 24,PTP,CAM,0.0,
Apr 24,PTP,Aggregator commission,,
Apr 24,PTP,Marketing & advertisement,0.0,
Apr 24,PTP,Other opex expenses,0.0,
Apr 24,SEC,Gross Sales,,
Apr 24,SEC,Net Sales,,
Apr 24,SEC,COGS (food +packaging),0.0,
Apr 24,SEC,Gross margin,0.0,
Apr 24,SEC,store Labor Cost,0.0,
Apr 24,SEC,Utility Cost,0.0,
Apr 24,SEC,CAM,0.0,
Apr 24,SEC,Aggregator commission,,
Apr 24,SEC,Marketing & advertisement,0.0,
Apr 24,SEC,Other opex expenses,0.0,
Apr 24,SYH,Gross Sales,4384419.0,1.009512172648435
Apr 24,SYH,Net Sales,4343106.62,1.0
Apr 24,SYH,COGS (food +packaging),1677366.498496685,0.3862135207025346
Apr 24,SYH,Gross margin,2665740.121503315,0.6137864792974654
Apr 24,SYH,store Labor Cost,463605.7138,0.1067451836584201
Apr 24,SYH,Utility Cost,197157.0,0.04539538566520386
Apr 24,SYH,CAM,0.0,0.0
Apr 24,SYH,Aggregator commission,792273.99,0.1824210316070942
Apr 24,SYH,Marketing & advertisement,125355.27,0.02886304228009028
Apr 24,SYH,Other opex expenses,185328.2340000003,0.04267181310874663
Apr 24,ETF,Gross Sales,1959166.0,1.050000000535942
Apr 24,ETF,Net Sales,1865872.38,1.0
Apr 24,ETF,COGS (food +packaging),742930.549136698,0.3981679331877446
Apr 24,ETF,Gross margin,1122941.830863302,0.6018320668122553
Apr 24,ETF,store Labor Cost,272373.7779,0.1459766384987166
Apr 24,ETF,Utility Cost,72975.0,0.03911039189078944
Apr 24,ETF,CAM,0.0,0.0
Apr 24,ETF,Aggregator commission,0.0,0.0
Apr 24,ETF,Marketing & advertisement,2502.63,0.001341265365640923
Apr 24,ETF,Other opex expenses,114899.6542,0.06157958895345245
Apr 24,GSC,Gross Sales,1378887.0,1.050022847293134
Apr 24,GSC,Net Sales,1313197.14,1.0
Apr 24,GSC,COGS (food +packaging),487428.952874,0.3711772878777364
Apr 24,GSC,Gross margin,825768.187126,0.6288227121222637
Apr 24,GSC,store Labor Cost,288390.478,0.2196094319852083
Apr 24,GSC,Utility Cost,0.0,0.0
Apr 24,GSC,CAM,0.0,0.0
Apr 24,GSC,Aggregator commission,0.0,0.0
Apr 24,GSC,Marketing & advertisement,2502.63,0.001905753465165177
Apr 24,GSC,Other opex expenses,214996.2537,0.1637197090605909
Apr 24,PRI,Gross Sales,,
Apr 24,PRI,Net Sales,,
Apr 24,PRI,COGS (food +packaging),0.0,
Apr 24,PRI,Gross margin,0.0,
Apr 24,PRI,store Labor Cost,0.0,
Apr 24,PRI,Utility Cost,0.0,
Apr 24,PRI,CAM,0.0,
Apr 24,PRI,Aggregator commission,0.0,
Apr 24,PRI,Marketing & advertisement,0.0,
Apr 24,PRI,Other opex expenses,0.0,
Apr 24,ECN,Gross Sales,2535128.0,1.02111826968609
Apr 24,ECN,Net Sales,2482697.72,1.0
Apr 24,ECN,COGS (food +packaging),806527.807801942,0.3248594467642005
