month,store,aggregator_commission,cam,cogs_food_pluspackaging,gross_sales,marketing_&_advertisement,net_sales,other_opex_expenses,rent,utility_cost,store_labor_cost,total_outlet_expenses,outlet_ebitda
April 2024,PBF,2.7264,0.59,7.3534,18.0435,3.1529,17.7788,1.046,1.843,0.5596,3.0886,20.3599,-2.5810999999999993
April 2024,PPM,2.6908,0.4553,6.7323,19.6544,0.8879,19.2831,0.784,1.6634,0.7466,3.214,17.174300000000002,2.1087999999999987
April 2024,PRI,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
April 2024,PTP,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
April 2024,RGA,4.2846,0.2643,8.1299,24.5728,0.0948,24.3162,1.1067,1.8585,0.8983,2.562,19.199099999999998,5.117100000000001
April 2024,RMZ,1.0291,0.1888,6.3465,16.9561,0.0416,16.3679,0.9041,2.0762,0.5107,2.524,13.620999999999999,2.7469
April 2024,ROH,4.6087,0.0,8.4292,20.8115,2.0219,20.8115,1.2955,0.45,1.1441,3.2806,21.229999999999997,-0.4184999999999981
April 2024,RRR,3.2292,0.4413,9.2407,24.2203,0.5944,23.7604,1.1919,2.0645,1.0503,3.458,21.270300000000002,2.490099999999998
April 2024,SCH,0.0805,0.5204,9.092,24.1166,0.1015,22.9915,1.0577,2.713,1.1861,3.482,18.233200000000004,4.758299999999995
April 2024,SCK,9.5399,0.0,17.0764,43.6756,1.4874,43.6718,1.289,0.441,1.3101,2.9552,34.099000000000004,9.572799999999994
April 2024,SEC,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
April 2024,SES,5.624,0.0,10.4525,26.0007,1.8077,25.9989,1.2357,0.3623,0.9192,3.4413,23.8427,2.1561999999999983
April 2024,SFC,9.941,0.0578,16.7771,45.1095,1.257,45.1043,1.5909,0.4969,0.6444,3.5238,34.288900000000005,10.815399999999997
April 2024,SHV,4.3953,0.1475,10.499,28.1804,1.1494,27.7644,1.1198,1.416,1.142,3.1358,23.004799999999996,4.7596000000000025
April 2024,SIG,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
April 2024,SJP,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
April 2024,SKO,6.2772,1.03,15.0193,40.8446,1.8756,40.2598,2.0068,3.3444,1.6332,4.0191,35.2056,5.054200000000002
April 2024,SMR,7.7345,0.4104,16.1538,44.3146,1.9606,43.84,1.3259,1.55,1.3616,4.2644,34.7612,9.078800000000001
April 2024,SYH,7.9227,0.0,16.7737,43.8442,1.2536,43.4311,1.8533,2.065,1.9716,4.6361,36.476,6.955100000000002
April 2024,Tecno,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,
April 2024,VBP,7.6525,0.4673,18.4415,49.0741,1.2252,48.3955,1.5926,2.6727,1.0498,4.0021,37.1037,11.291799999999995
April 2024,VEL,3.3238,,9.904,27.3903,1.3417,26.7877,1.3731,2.006,1.2065,3.9414,23.0965,3.691200000000002
April 2024,VIR,5.0193,0.295,9.5255,28.2773,0.4857,27.7221,1.3152,1.8906,1.2933,3.2083,23.032899999999998,4.689200000000003
April 2024,VRA,2.1996,1.0915,8.449,20.519,1.0801,20.0079,1.3991,2.9205,1.4641,2.8554,21.4593,-1.4513999999999996
August 2024,ADM,17.257,1.2213,36.5779,91.1359,0.4227,90.4872,2.253,5.0277,1.7233,6.2183,70.7012,19.786
August 2024,AKA,3.6036,0.59,8.1062,21.8925,1.3692,21.6197,1.0373,1.593,0.9882,3.5735,20.861,0.758700000000001
August 2024,ANN,5.7899,0.8615,16.0555,41.4979,0.6105,40.7803,1.9266,4.5268,1.5426,4.6395,35.9529,4.827399999999997
August 2024,ARK,10.6648,0.0,22.8652,70.0011,0.9981,69.2554,2.1557,1.5139,1.9083,5.1888,45.2948,23.960599999999992
August 2024,ATL,3.2369,0.5139,10.2542,28.6586,2.2058,27.9848,1.2259,2.605,0.8,3.6465,24.488200000000003,3.4965999999999973
August 2024,ATT,1.8572,0.0944,6.0092,16.0714,1.3155,15.7111,0.8983,1.888,1.2525,3.211,16.5261,-0.8149999999999995
August 2024,AUR,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
